Time,Open,High,Low,Close,Volume
2019-12-19T12:00:00.000000000Z,1.11272,1.11326,1.11139,1.11160,986
2019-12-19T13:00:00.000000000Z,1.11162,1.11243,1.11101,1.11150,1241
2019-12-19T14:00:00.000000000Z,1.11147,1.11244,1.11100,1.11224,940
2019-12-19T15:00:00.000000000Z,1.11226,1.11272,1.11074,1.11156,1351
2019-12-19T16:00:00.000000000Z,1.11154,1.11288,1.11124,1.11276,956
2019-12-19T17:00:00.000000000Z,1.11278,1.11306,1.11227,1.11252,424
2019-12-19T18:00:00.000000000Z,1.11254,1.11294,1.11248,1.11274,355
2019-12-19T19:00:00.000000000Z,1.11276,1.11281,1.11232,1.11240,226
2019-12-19T20:00:00.000000000Z,1.11243,1.11268,1.11230,1.11239,197
2019-12-19T21:00:00.000000000Z,1.11237,1.11241,1.11174,1.11208,126
2019-12-19T22:00:00.000000000Z,1.11219,1.11252,1.11218,1.11238,145
2019-12-19T23:00:00.000000000Z,1.11240,1.11249,1.11206,1.11232,119
2019-12-20T00:00:00.000000000Z,1.11230,1.11230,1.11178,1.11198,147
2019-12-20T01:00:00.000000000Z,1.11200,1.11202,1.11160,1.11186,208
2019-12-20T02:00:00.000000000Z,1.11184,1.11184,1.11146,1.11158,144
2019-12-20T03:00:00.000000000Z,1.11156,1.11168,1.11144,1.11158,108
2019-12-20T04:00:00.000000000Z,1.11160,1.11176,1.11138,1.11157,106
2019-12-20T05:00:00.000000000Z,1.11160,1.11202,1.11156,1.11195,108
2019-12-20T06:00:00.000000000Z,1.11195,1.11195,1.11149,1.11167,200
2019-12-20T07:00:00.000000000Z,1.11170,1.11194,1.11152,1.11180,411
2019-12-20T08:00:00.000000000Z,1.11178,1.11237,1.11157,1.11222,711
2019-12-20T09:00:00.000000000Z,1.11219,1.11224,1.11151,1.11207,619
2019-12-20T10:00:00.000000000Z,1.11205,1.11222,1.11118,1.11130,511
2019-12-20T11:00:00.000000000Z,1.11127,1.11127,1.10900,1.10972,1017
2019-12-20T12:00:00.000000000Z,1.10975,1.11036,1.10950,1.11002,528
2019-12-20T13:00:00.000000000Z,1.11004,1.11011,1.10860,1.10914,793
2019-12-20T14:00:00.000000000Z,1.10916,1.10918,1.10820,1.10837,653
2019-12-20T15:00:00.000000000Z,1.10834,1.10880,1.10812,1.10864,901
2019-12-20T16:00:00.000000000Z,1.10861,1.10870,1.10732,1.10756,676
2019-12-20T17:00:00.000000000Z,1.10758,1.10758,1.10679,1.10687,259
2019-12-20T18:00:00.000000000Z,1.10684,1.10712,1.10664,1.10680,203
2019-12-20T19:00:00.000000000Z,1.10682,1.10768,1.10682,1.10753,248
2019-12-20T20:00:00.000000000Z,1.10756,1.10787,1.10756,1.10772,224
2019-12-20T21:00:00.000000000Z,1.10770,1.10774,1.10726,1.10765,243
2019-12-22T22:00:00.000000000Z,1.10810,1.10812,1.10774,1.10785,77
2019-12-22T23:00:00.000000000Z,1.10783,1.10804,1.10774,1.10804,142
2019-12-23T00:00:00.000000000Z,1.10802,1.10802,1.10730,1.10763,197
2019-12-23T01:00:00.000000000Z,1.10766,1.10790,1.10748,1.10784,172
2019-12-23T02:00:00.000000000Z,1.10782,1.10784,1.10748,1.10784,96
2019-12-23T03:00:00.000000000Z,1.10786,1.10830,1.10778,1.10812,85
2019-12-23T04:00:00.000000000Z,1.10810,1.10819,1.10782,1.10784,69
2019-12-23T05:00:00.000000000Z,1.10782,1.10832,1.10778,1.10822,101
2019-12-23T06:00:00.000000000Z,1.10822,1.10864,1.10822,1.10840,214
2019-12-23T07:00:00.000000000Z,1.10843,1.10860,1.10817,1.10837,417
2019-12-23T08:00:00.000000000Z,1.10834,1.10887,1.10803,1.10838,619
2019-12-23T09:00:00.000000000Z,1.10840,1.10869,1.10808,1.10837,482
2019-12-23T10:00:00.000000000Z,1.10834,1.10882,1.10812,1.10830,623
2019-12-23T11:00:00.000000000Z,1.10828,1.10833,1.10766,1.10810,547
2019-12-23T12:00:00.000000000Z,1.10808,1.10808,1.10718,1.10744,510
2019-12-23T13:00:00.000000000Z,1.10746,1.10837,1.10700,1.10803,731
2019-12-23T14:00:00.000000000Z,1.10800,1.10873,1.10768,1.10873,597
2019-12-23T15:00:00.000000000Z,1.10870,1.10958,1.10854,1.10873,729
2019-12-23T16:00:00.000000000Z,1.10875,1.10941,1.10846,1.10898,608
2019-12-23T17:00:00.000000000Z,1.10901,1.10919,1.10856,1.10910,451
2019-12-23T18:00:00.000000000Z,1.10908,1.10931,1.10874,1.10897,288
2019-12-23T19:00:00.000000000Z,1.10900,1.10946,1.10898,1.10934,228
2019-12-23T20:00:00.000000000Z,1.10937,1.10949,1.10918,1.10923,181
2019-12-23T21:00:00.000000000Z,1.10926,1.10944,1.10893,1.10896,90
2019-12-23T22:00:00.000000000Z,1.10896,1.10919,1.10889,1.10904,146
2019-12-23T23:00:00.000000000Z,1.10906,1.10932,1.10901,1.10920,149
2019-12-24T00:00:00.000000000Z,1.10922,1.10940,1.10900,1.10910,118
2019-12-24T01:00:00.000000000Z,1.10908,1.10924,1.10871,1.10878,168
2019-12-24T02:00:00.000000000Z,1.10880,1.10887,1.10853,1.10879,126
2019-12-24T03:00:00.000000000Z,1.10876,1.10898,1.10859,1.10893,102
2019-12-24T04:00:00.000000000Z,1.10890,1.10896,1.10879,1.10882,63
2019-12-24T05:00:00.000000000Z,1.10880,1.10896,1.10876,1.10895,98
2019-12-24T06:00:00.000000000Z,1.10895,1.10899,1.10856,1.10874,219
